TAG,Shape_Leng,Shape_Area
ES51C,20006.20776150000,25015521.81789999800
ES51D,20006.07224670000,25015182.72670000000
ES52A,20006.39476980000,25015989.47470000000
ES52B,20006.25893190000,25015649.68180000000
ES52C,20006.32005780000,25015802.44469999900
ES52D,20006.18429970000,25015463.24509999900
ES53A,20006.58119350000,25016455.79270000000
ES53B,20006.44522260000,25016115.55290000100
ES53C,20006.48187670000,25016207.21959999900
ES53D,20006.34587600000,25015867.20870000100
ES54A,20006.81724550000,25017046.11470000100
ES54B,20006.68093120000,25016704.91759999800
ES54C,20006.69301830000,25016735.64009999900
ES54D,20006.55677560000,25016394.92419999800
ES55A,20007.10321270000,25017760.89060000000
ES55B,20006.96646480000,25017419.09160000100
ES55C,20006.95397700000,25017388.06100000100
ES55D,20006.81749670000,25017046.54479999800
ES56A,20007.43850620000,25018599.92570000100
ES56B,20007.30151820000,25018256.92929999900
ES56C,20007.26455640000,25018164.59120000200
ES56D,20007.12753750000,25017822.52079999800
ES57A,19870.23320100000,23273617.99850000100
ES57B,8128.13730474000,602595.02037299995
ES57C,20007.62506220000,25019066.18739999800
ES57D,20867.05467230000,18734507.99650000000
ES58C,6117.56343031000,729837.06887800002
ES60A,20005.88698230000,25014719.62180000200
ES60B,20005.72712980000,25014319.57800000200
ES60C,20005.86174270000,25014656.80790000000
ES60D,20005.70206490000,25014257.29610000200
ES61A,20005.97417920000,25014937.68239999900
ES61B,20005.81388330000,25014536.72080000100
ES61C,20005.92453030000,25014813.21940000000
ES61D,20005.76430690000,25014412.83289999900
ES62A,20006.11070020000,25015278.88789999900
ES62B,20005.95016170000,25014877.51500000100
ES62C,20006.03624200000,25015093.07119999800
ES62D,20005.87587010000,25014691.62929999800
ES63A,20006.29664700000,25015744.09380000100
ES63B,20006.13566310000,25015341.51230000000
ES63C,20006.19737230000,25015496.12929999800
ES63D,20006.03666000000,25015094.13120000100
ES64A,20006.53211430000,25016332.85610000000
ES64B,20006.37089670000,25015929.77470000100
