"type","language","license","eventID","rightsHolder","accessRights","institutionCode","datasetName","ownerInstitutionCode","basisOfREcord","countryCode","Municipality","kingdom","nomenclaturalCode","locality","parentEventID","eventDate"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:14","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","12/10/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:2","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","4/05/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:3","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","18/05/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:4","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","1/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:5","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","15/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:6","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","29/06/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:7","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","13/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:8","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","27/07/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA1:9","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA1","Maasmechelen:MA1","10/08/2009"
"event","en","https://creativecommons.org/licenses/by-nc/4.0/","modirisk:maasmechelen:mA2:1","RBINS","http://www.inbo.be/en/norms-for-data-use","RBINS","MODIRISK:Monitoring of Mosquito Vectors, Longitudinal study","RBINS","humanObservation","BE","Maasmechelen","Animalia","ICZN","MA2","Maasmechelen:MA2","20/04/2009"
