scientificName,accessRights,datasetName,ownerInstitutionCode,basisOfREcord,countryCode,geodeticDatum,kingdom,eventDate,year,locality,localityLatitude,LocalityLongitude,municipality,recordedBy,sex,lifestage,occurrenceID,georeferenceRemarks,decimalLongitude,decimalLatitude
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/6/1918,1918,Forêt de Soignes,,, ,André Léon Tonnoir,Female,Adult,RBINS:modirisk:collection:49,centroid of respective UTM square given,4.3819883970772535,50.74608651803466
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/7/1894,1894,,,,Etterbeek,E. Coucke,Female,Adult,RBINS:modirisk:collection:50,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/8/1892,1892,Hertogenwald,50.5833333,6.0666667, ,E. Coucke,Male,Adult,RBINS:modirisk:collection:51,centroid of respective UTM square given,6.068856764674364,50.58249072638916
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/8/1892,1892,Hertogenwald,50.5833333,6.0666667, ,E. Coucke,Female,Adult,RBINS:modirisk:collection:52,centroid of respective UTM square given,6.068856764674364,50.58249072638916
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,10/9/1893,1893,,,,Etterbeek,E. Coucke,Female,Adult,RBINS:modirisk:collection:53,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,11/1908,1908,,,,Gent,Paul de Moffarts,Female,Adult,RBINS:modirisk:collection:54,centroid of respective UTM square given,3.7492658563690693,51.06661661343593
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,11/7/1917,1917,Genval,50.7211,4.49388,Rixensart,André Léon Tonnoir,Female,Adult,RBINS:modirisk:collection:55,centroid of respective UTM square given,4.523679733033983,50.744320946323356
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,12/11/1913,1913,,,,Brussel,,Male,Adult,RBINS:modirisk:collection:56,centroid of respective UTM square given,4.384642333258973,50.83598850241617
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,12/4/1894,1894,,,,Evegnée,E. Coucke,Female,Adult,RBINS:modirisk:collection:57,centroid of respective UTM square given,5.722109426202706,50.63254256358519
Culex pipiens,http://www.inbo.be/en/norms-for-data-use,MODIRISK:RBINS Diptera: Culicidae Collection,RBINS,PreservedSpecimen,BE,WGS84,Animalia,12/6/1918,1918,,,,Melsbroek,André Léon Tonnoir,Female,Adult,RBINS:modirisk:collection:58,centroid of respective UTM square given,4.458429907498498,50.92502221788491
